,ClassID,ExptID,BatchID,Drive,Method,Film Thickness [nm],Temp (deg C),RH (%),Oxygen (%),Illum (Nsuns),MA fraction,Bleach Rate (polyfit) (1/min),Bleach Rate (1% inc) (1/min),Bleach Rate (2% inc) (1/min),Bleach Rate (5% inc) (1/min),Bleach Rate (fit to 1% inc) (1/min),Bleach Rate (fit to 2% inc) (1/min),Bleach Rate (fit to 5% inc) (1/min),tLD75 (min),dLDdt (1/min),dPLdt (1/min),LD_0 (nm),PLQY_0,xy1t0_0,xy0t1_0,xy0t1Norm_0,xy1t1_0,t0xy1_0,t1xy0_0,frac_bright_0,ddTr0,ddPL0,ddLD0,tPLmax,tPLmax10,tPL10,TrFail,PLFail,PLEnhance,pred_horiz,Ld1,Ld2,Ld3,Tr1,Tr2,Tr3,PL1,PL2,PL3,mu1,mu2,mu3,tau1,tau2,tau3,QFLS_0,Tr_end,Tr_finished,Ld_2min,Ld_4min,Ld_6min,Ld_8min,Ld_10min,PL_2min,PL_4min,PL_6min,PL_8min,PL_10min,Tr_2min,Tr_4min,Tr_6min,Tr_8min,Tr_10min,tLD80 (min),PL_LD80,Tr_LD80,dtaudt,dmudt,tau0,mu0,tLD75 corrected (min),tLD80 corrected (min),LD_0 corrected (nm),mu_LD80,tau_LD80,mu_LD75,tau_LD75,ddmu0,ddtau0,Days Stored,xy2t0,xy3t0,xy2t1,xy3t1,beta_mean,beta_std,cv_slopes,dDFmeandt,dDFmediandt,dDFstddt,dDFskewdt,dDFkurtdt,d2DFmeandt2,d2DFmediandt2,d2DFstddt2,d2DFskewdt2,d2DFkurtdt2,DFmean_0,DFmedian_0,DFstd_0,DFskew_0,DFkurtdt_0,tLDmax,dAdt,deg_rate,ddA0,vol_rate,d_vol_rate,initial_PD_power,sigma_ph,Tr_0,Ref_0,tA80,Abs_LD80
0,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_40RH_65C_16Suns,HBQ2,EP1,ether immersion,264,65.0,41.3,21.0,16.0,1.0,0.0016989125478397108,,,,0.0016437749234669771,0.0016437749234669771,0.0016989125478397108,65.0,0.01060970726306637,0.1600900609785063,113.68256132348768,0.0004456592210193179,4.214960201877449e+18,2.4767421368306877e+17,0.02579653595214586,6.2254726956585256e+16,4.222685131384291e+18,5814664155978550.0,0.4909210205078125,4.220301987207034e-05,-0.057058283798757214,0.003961200636919959,47.0,70.0,,0.48122179129290793,1.0362048117419274,3.0487248047754294,4.0,1.0075679267749498,1.0372254725143035,1.0726415948850385,0.07564377492346698,0.07732410666017285,0.07910293124723046,1.2384087930123244,1.3627010184271344,1.4922027947900849,0.9210228605690056,0.9331087054362311,0.9559320185943342,1.1022453084806023,1.1529596439994234,1.2036002233394985,1.1967088777982489,0.6319086742793797,0.0,1.0372254725143035,1.1123565018999617,1.2023134199886512,1.309124013793041,1.435377257920092,1.3627010184271344,1.6146420637986816,1.84475098137439,2.0438322119280503,2.206929451038629,0.07732410666017285,0.08096367850226686,0.08483252765088864,0.08896185943469588,0.09324256433585246,59.0,2.9574208490905836,0.32383938928193373,0.06615150055373147,-0.012011809934977453,8.14243891472953,1.7366511584772472e-05,55.62773666265006,54.802737127869385,90.79644127525741,0.2396302300960448,2.585473169333128,0.20457966462530502,2.590507524684408,0.04553149214910995,-0.02576548648089061,1.0,-1.5827194727012979,-0.43114811585770385,-1.18239401326607,-0.20895748014851065,-0.04207062263923677,1.4162520991920469,0.4824397566597074,,,,,,,,,,,,,,,,31.0,-0.00016070714914233008,2.5836229827183253e-07,-0.00010505995247323202,-6.087392012967049,-3.9795436542890923,9.48061905e-06,0.00598485174697808,0.074,0.229,21.0,0.3701280406451333
1,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_60RH_85C_32Suns,HBQ2,EP1,ether immersion,264,85.0,60.5,21.0,32.0,1.0,0.0016500285545114387,,,,0.0015809349363206243,0.0015809349363206243,0.0016500285545114387,40.0,-0.019267700471475947,-0.16483046286068168,93.00780914061899,0.00017875734735678877,4.0006523383618437e+18,2.3938584223748934e+17,0.03112440631421148,8.283818800556157e+16,3.9883657323214244e+18,3.252157247176127e+17,0.9232864379882812,4.090274036193907e-05,0.3698382678620858,0.0015656179166598921,55.0,,,0.24481378896746334,0.4479023925830657,0.5392282227425141,4.0,0.97554585286522,0.9418936773035208,0.9241143900017753,0.07558093493632063,0.07723643734124966,0.0789482610467285,0.32276850158395753,0.3852135388920867,0.42975011136168545,1.524480906953301,1.316256376699719,1.2070563283774103,0.6242713219311459,0.6740052432404969,0.7074959019984831,1.1910116847773995,0.6460230617895226,0.0,0.9418936773035208,0.9141115002101465,0.9135517949233154,0.9275344106140826,0.9491112650456535,0.3852135388920867,0.48417431434737035,0.5281720452317628,0.5628704267686745,0.5762806776998776,0.07723643734124966,0.08068090416425773,0.08422205146534636,0.08789293953170947,0.09166404756362918,39.0,0.4370679462911755,0.22558383305931376,-0.0827778372695201,0.04129444548786484,6.012628847131492,2.3945683360732234e-05,39.00746385948073,38.03055316642751,94.28853213692018,0.6109396897139485,0.9217205003903698,0.4995841339074281,0.9680707802317229,-0.36635271860344143,0.21273129968910257,2.0,-0.7934141116009388,-1.6680931375717,-0.07746388851254474,-1.0171396250872655,6732781029439471.0,5738229862319894.0,0.5682630183029078,,,,,,,,,,,,,,,,27.0,-0.00015623753230351354,2.5117667843454455e-07,-0.00010618604452185027,-5.918088344830059,-4.022198656130692,1.4516198277e-05,0.012187311864274443,0.074,0.229,23.0,0.5244002006542839
2,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_40RH_85C_32Suns_2,HBQ2,EP1,ether immersion,264,85.0,39.5,21.0,32.0,1.0,0.00215340116191698,,,,0.0021623902968792644,0.0021623902968792644,0.0021613697760919817,29.0,0.009677948252614175,0.12662543395401765,108.82039445607641,0.00010414689183179417,1.9730930316879265e+18,1.6772211961797894e+17,0.03442732333537124,3.448477302215053e+16,1.9804712598676068e+18,1.153297867713612e+16,0.32666778564453125,-8.513248262961327e-06,-0.04620319408867535,-0.0005451840761010879,35.0,41.0,,0.23613542786781586,2.1037749081481087,1.7686676609701755,4.0,1.0173697416498506,1.0295316956212375,1.044548568374972,0.07616239029687927,0.07832273955218398,0.08045788745462178,1.1992849791631246,1.3061635701488985,1.3864585828514684,0.9559678759609238,0.9414009405975394,0.9420005956880959,1.082715452320275,1.1259129522602371,1.1582601079962265,1.177045791410753,0.6634844188813376,1.0,1.0295316956212375,1.0629859371960309,1.1041599351503855,1.1442201336308169,1.179407317858105,1.3061635701488985,1.4433223163415518,1.5153523478457938,1.5744474897457945,1.6401415013682439,0.07832273955218398,0.08274411224218581,0.08727397072370946,0.09196806874691732,0.09679296709352603,28.0,2.1037749081481087,0.23613542786781586,0.051797782392863985,-0.018856514829909826,4.7951112530916555,4.262377878910555e-05,28.682259959448306,28.005768596103614,112.34102382903858,0.29032521747567885,1.8180470298220792,0.29032521747567885,1.8180470298220792,0.014732594337845906,-0.01975897619015654,1.0,1.594560835138544,1.0476270203901032,0.9541559179588596,0.6947755187342777,-0.43928140189550435,0.9688753511225011,0.4836619378624317,,,,,,,,,,,,,,,,16.0,-0.00020193003478900315,3.2463464230824404e-07,0.0002587781979525967,-7.648864954128908,9.80220446790139,1.6463607153333335e-05,0.017300829654179253,0.074,0.229,18.0,0.5048946629536917
3,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_60RH_85C_32Suns_2,HBQ2,EP1,ether immersion,264,85.0,59.3,21.0,32.0,1.0,0.002377104925637718,,,,0.0021207589057250856,0.0021207589057250856,0.0022921861494604305,44.0,-0.017766830900737468,0.16130017078143954,103.19833341121355,0.00017842108157350742,2.9249149470815933e+18,2.1617724468265952e+17,0.027332170180325653,4.878852304413245e+16,2.922515710384944e+18,2.247634125659925e+17,0.565643310546875,0.00012417106762954624,-0.018992626272093305,-0.0031087971182628196,5.0,59.0,,0.3189554727198342,0.618462237535119,1.107743064464374,4.0,0.9863926423991036,0.9513295665810505,0.9211471026694662,0.07612075890572509,0.07858437229892087,0.08110247862106051,1.1912347599579962,1.3444842673718058,1.486584066800196,0.9012360361332635,0.7938162959616952,0.7107715257624194,1.0795955842529306,1.1400974619132294,1.1937900633346046,1.1909630081985976,0.5804160433284653,0.0,0.9513295665810505,0.8977671808801435,0.8926707009871897,0.9166352877238653,0.9636519125037654,1.3444842673718058,1.546507152296363,1.5413241436913137,1.5066604665930579,1.4465800504810138,0.07858437229892087,0.08366675935598457,0.08888893329365952,0.0943183541930824,0.09990041360810126,42.0,0.5774885845902377,0.2862720162983679,0.06418720676641097,-0.09751051628843121,6.00788902370931,2.5876795913502895e-05,42.52123312898562,41.65405097592392,97.97815570650137,0.5134445049536374,1.176694822170466,0.42555988090633423,1.2349352930936752,-0.004327888152415915,-0.009546853296315883,2.0,-2.136608814452192,1.1703406095468742,-1.4853798181325637,0.7630669812422421,543528029756445.2,2478435570621457.5,0.4797297043394014,,,,,,,,,,,,,,,,26.0,-0.00022206716889977627,3.570082876453268e-07,-0.0004457965263899085,-8.411635185597587,-16.886232060223808,1.6416370906666668e-05,0.013159782014728753,0.074,0.229,17.0,0.4227411107931828
4,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_20RH_85C_32Suns,HBQ2,EP1,ether immersion,264,85.0,24.8,21.0,32.0,1.0,0.0015645263221162693,,,,0.0016091689572130183,0.0016091689572130183,0.0015645263221162693,49.0,-0.01822920984924719,-0.20788874247993833,99.52461429355948,0.0002875469991011266,8.052257364006386e+18,3.204865256231969e+17,0.02787411824462271,1.2133832827919925e+17,8.058023850616881e+18,1.3634690509569227e+17,0.9888801574707032,6.586936591044135e-05,0.2779479068569743,-0.0023642789461646163,0.0,,,0.3132785628724532,0.187496714128577,0.340367182894602,4.0,0.984596829129632,0.9348847069858807,0.9041355037180183,0.07560916895721302,0.07694864484849914,0.07876859577662558,0.3754900346204868,0.30687588295492213,0.32990890895539454,1.457484721210866,1.4269300614562979,1.2910893079952608,0.6651396764740908,0.6125103387786776,0.6331560520416264,1.2033005673670767,0.746313233682289,1.0,0.9348847069858807,0.8779648260699912,0.88481633681714,0.8962679593334724,0.9113116688817127,0.30687588295492213,0.37131098472121726,0.4455631602927589,0.475415632342302,0.4786626524966761,0.07694864484849914,0.08058572007319173,0.08426730001518083,0.08811906735085423,0.09235700079042423,45.0,0.2279939865002265,0.23103480148991107,-0.11531611815705366,0.08427132642312107,7.337201642384557,1.6854510429488117e-05,42.77236690203455,41.80884483585502,87.38489271425175,0.8749351650722231,0.7094838165249001,0.7696726423867805,0.7092356395820065,-0.244019690482717,0.141115492915248,2.0,0.09697692936447863,-1.9119337040381774,0.2574127064189149,-1.0978859153362197,4.509384722759573,3.19756102447587,0.5353139409947076,,,,,,,,,,,,,,,,0.0,-0.00014831776975978,2.3844440072638865e-07,-0.0002529320506222865,-5.618097339385606,-9.58075949326843,1.6767054940000002e-05,0.010467980132626113,0.074,0.229,22.0,0.514212343207231
5,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_60RH_25C_8Suns,HBQ2,EP1,ether immersion,264,25.0,59.5,21.0,8.0,1.0,0.0011515420710163198,,,,0.0006557196435970844,0.0010991969150221644,0.0010991969150221644,116.0,0.0012560000683618528,-0.02569897711973747,97.76502171600404,0.0003029330701812455,6.838274935213773e+17,1.551346398890613e+17,0.04188718082324349,2.1959156495379856e+16,6.969505667661294e+17,7.761214235051272e+16,0.009616851806640623,7.345865118707322e-05,0.03254023976725069,0.001634082737150891,222.0,260.0,710.0,0.26502585836271825,15.814350181439597,7.26537952334095,8.0,0.9855256781803198,0.9988466206837883,1.011818893054106,0.07531143928719418,0.07839678766008866,0.08064849768247738,0.7571332854281081,0.7745884889942217,0.822855084679713,1.1150936309369721,1.127375218483277,1.1185581408620944,0.8710128328297099,0.8849711748974576,0.9152653178601796,1.1688097691599226,0.5936411096562596,1.0,0.9855256781803198,0.9988466206837883,1.011818893054106,1.0263000793832515,1.0400521937178528,0.7571332854281081,0.7745884889942217,0.822855084679713,0.8999580913774252,0.9931443651820125,0.07531143928719418,0.07839678766008866,0.08064849768247738,0.08308046811203086,0.08563350826218412,110.0,15.814350181439597,0.26502585836271825,-0.012012285217585806,0.01839780050662923,3.0252268420825,6.915876681268552e-05,117.92926011792059,114.12075821512586,103.70521136485253,0.1096471468388497,5.51997543759202,0.1000944690657075,5.604328267044118,-0.012851505423833398,0.01786818865475473,2.0,-2.1905330474025573,2.0416158104719364,-0.6518694814716631,0.4335903410508908,-3769201158645717.0,1636975563623023.2,0.4844965404912781,,,,,,,,,,,,,,,,36.0,-0.0001079425052123944,1.7353474239776518e-07,-0.0003647489303525964,-4.088731258045243,-13.816247361840775,3.1985448666666677e-06,0.00442752974366499,0.074,0.229,32.0,0.45564531747043985
6,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_80RH_85C_32Suns,HBQ2,EP1,ether immersion,264,85.0,80.6,21.0,32.0,1.0,0.0026701496240097264,,,,0.0025187988141299536,0.0025187988141299536,0.0026154448537506025,43.0,0.0003244818615994527,0.5475350467803538,94.28859380036705,8.890396382245609e-05,1.8022741162497482e+18,1.564541607305896e+17,0.041622706014839896,4.1665767718185144e+16,1.8053714940875192e+18,1.195988125991712e+17,0.8399620056152344,7.711872727423404e-05,0.06302905811385728,-0.004208545120295143,30.0,42.0,,0.5299215703962682,0.460098554449801,3.763451232529472,4.0,1.0186806466599474,1.0123678485784025,1.0102666614721343,0.07651879881412996,0.07923088970750122,0.08199646844890873,1.481745498178343,2.0895491125844003,2.622515617799161,0.8766989707298936,0.7466048088966907,0.6731018679438098,1.183656299967577,1.372732466523772,1.5163213413742225,1.1729548421103502,0.6714574909737532,0.0,1.0123678485784025,1.0184556516474632,1.0581791167978565,1.119000352392382,1.1988948003727637,2.0895491125844003,3.0987647664051408,3.724492426604289,4.1694862226951335,4.350424703358617,0.07923088970750122,0.08482742047852575,0.0907926261153818,0.09712336250294325,0.10387328043488067,41.0,0.39059791692771795,0.5765123764744439,0.17380401906788598,-0.1110788558001776,4.487601408886883,2.9511898737459643e-05,47.46959459029335,45.80102572535825,90.43129974155553,0.2334025725255307,2.681251268605268,0.19241307757857354,2.797835668197026,-0.003396566281548219,0.0027099332943089083,2.0,-1.2354171918019445,-1.0986003218847598,-0.8572320421366506,-0.8507465042341557,1998685209489686.8,1957644032308927.8,0.4743153249953385,,,,,,,,,,,,,,,,26.0,-0.0002480277890823664,3.9874411290718766e-07,-0.00011380968197823851,-9.394992010695697,-4.310972802206004,1.666539484e-05,0.011210570668628229,0.074,0.229,14.0,0.12403510761379107
7,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_0RH_85C_32Suns,HBQ2,EP1,ether immersion,264,85.0,0.0,21.0,32.0,1.0,0.002213261382111198,,,,0.0018178285478265624,0.0018178285478265624,0.0020579177680829456,37.0,0.012101718613053581,0.3294425183457286,118.41457790178036,0.00012987749260551804,1.755728493547572e+18,2.894887395338573e+17,0.04583306732288517,6.231830862605815e+16,1.7521192727258924e+18,3.0941384179638106e+17,0.9999961853027344,0.0002118348521662006,-0.2764212501912495,-0.013525125655129352,70.0,71.0,71.0,0.257513715263759,0.6411743405951651,1.000262421089611,4.0,1.0465088740515762,1.0720999187689244,1.055977460088343,0.07581782854782657,0.07811583553616588,0.0806115356109243,1.7790792752306372,2.0053160500787754,2.022729469536383,0.8579647537072492,0.8533463130248741,0.8216693215578719,1.2764869637551457,1.3469305700168066,1.3571011682661327,1.182753614767987,0.8034671048718296,1.0,1.0720999187689244,1.0345907501526768,0.9984071390778361,0.9732401624480675,0.956237504265562,2.0053160500787754,1.9844345093373208,1.7972969469798417,1.5709459260505219,1.3261303470779278,0.07811583553616588,0.0832261862980952,0.08864882875588935,0.09425384233872336,0.09994925249340043,35.0,0.5650763491621832,0.21699448027697402,0.11417471110600574,-0.05396104760087605,5.25968361221422,4.204751056276139e-05,34.7633264545401,33.66267180337691,116.85922815135156,0.6048443376210948,1.0092218879459007,0.5249822344255147,1.043919695330171,0.06870840280518781,-0.1030216787467424,2.0,-0.7569221045973766,-0.8235577688671559,-0.8295893502129636,-0.198545878989712,1.5235511601741114e+16,4303372459745220.0,0.6933604181319347,,,,,,,,,,,,,,,,2.0,-0.00020744027381486497,3.3349322779337363e-07,-0.0009745280524868587,-7.857586129350946,-36.91394138207799,1.7059436900000008e-05,0.01872044646137023,0.074,0.229,17.0,0.5409642699332341
8,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_80RH_25C_8Suns_2,HBQ2,EP1,ether immersion,264,25.0,80.5,21.0,8.0,1.0,0.0018217332328511922,,,,0.0010161290504375649,0.0010161290504375649,0.0014253561059704033,32.0,0.0006638148893290266,0.10477580229569342,111.08483732240278,0.0008514778146842379,6.029457574174439e+18,2.3855072716854038e+17,0.027002033657367027,7.548489604736958e+16,5.981311932206921e+18,4.709346993589617e+17,0.4796485900878906,0.0002490742385350829,0.06825093638226781,0.0030434324052662585,78.0,194.0,,0.18495659534243938,84.34110831639823,24.404233863639035,8.0,0.8794614298687798,0.883562523612184,1.0365976337785616,0.07603225810087513,0.07970142442388163,0.08492183277800583,1.003188954025525,1.5523853991091925,1.5154398669434008,0.7699698775447359,0.6206158995488371,0.8581239368816993,1.0045229419795065,1.2579161018908094,1.2521905148806582,1.1955267139272066,0.5078923360378679,1.0,0.8794614298687798,0.883562523612184,1.0365976337785616,1.0304839301063442,0.4486727409104592,1.003188954025525,1.5523853991091925,1.5154398669434008,2.5437110471641304,3.637497357310826,0.07603225810087513,0.07970142442388163,0.08492183277800583,0.09050254104503079,0.09639663611452165,24.0,3.637497357310826,0.09639663611452165,0.050498235227663765,-0.028749108367540136,5.08828701808316,1.0219398364575481e-05,8.96417509774605,8.792298032029578,51.70070353132234,0.10175794125409914,1.978295020075347,0.10175794125409914,1.978295020075347,0.010084518057420666,0.03110877724147454,3.0,0.4808063233614841,-2.0249693644379376,0.4328203068486229,-1.5309267488819296,132054252486231.81,2789771662803352.5,0.4913795084208599,,,,,,,,,,,,,,,,6.0,-0.00016652592552101724,2.6771690661595804e-07,-0.0012333676695122928,-6.307800209129441,-46.718472330011096,4.646022216666667e-06,0.0011100748619156944,0.074,0.229,16.0,0.8871805827575726
9,190916_PLVA_Perovskite_Degradation_Study,PL_PC_T_MAPI_air_40RH_25C_8Suns,HBQ2,EP1,ether immersion,264,25.0,45.8,21.0,8.0,1.0,8.867299659530401e-05,,,,8.867299659530401e-05,0.00010199700632886601,0.00010380713950721877,249.0,-0.0002851190037019526,0.08423290449479859,111.87799650809359,0.0006883264350267108,9.693443430870035e+17,2.1683263940073062e+17,0.02538543660818834,2.5130917849388436e+16,8.522564408244827e+17,4.945971225055885e+17,0.646087646484375,6.904129636620591e-06,-0.0008695754331118979,0.0017706803573758587,360.0,,,0.1966108759481069,17.47376223709621,,12.0,0.960060137049417,0.9726580058203558,0.9930920931658758,0.07412533246911454,0.07445325203975654,0.07477742344240576,1.2642867108338025,1.5129210638715909,1.7594509272687238,0.8189897672594502,0.7676611208330517,0.7413814804485578,1.1254297716510453,1.2323974350293798,1.3302623973178846,1.1900277498036929,0.5171081486225596,0.0,0.9733734246996113,0.9642594266397299,0.9726580058203558,0.9862807307173691,0.9975487285819195,1.1761911405558683,1.3471648285130653,1.5129210638715909,1.6772743061363462,1.8385330229392833,0.07408355497940969,0.07423463899266187,0.07445325203975654,0.07466936630818935,0.07489713308021392,243.0,16.859612414688797,0.19214287113989217,0.03659182851106621,-0.02757280683602427,4.5718706700502185,6.489901020506398e-05,247.77487274702892,244.5454584868639,123.49915695717175,0.1214915648914635,4.984955248845662,0.1043348545743972,5.1148610645528025,0.007204532573008411,-0.0010256726818172652,6.0,-1.4811183020141399,4.054185940791541,0.15975305009077645,0.8668699668458544,819318789188045.2,2182018090543604.5,0.4521436775530801,,,,,,,,,,,,,,,,90.0,-8.629638422077495e-06,1.3873516068711002e-08,-3.999619046815104e-05,-0.3268802432605112,-1.515007214702691,4.463683422333333e-06,0.006278968602581761,0.074,0.229,180.0,0.5928636950230118
